sentenca,categoria
Não tinha variedades de carnes brancas.,comida
Excelente café regional em Manaus.,bebida
Uma churrascaria de qualidade e sempre com as melhores carnes e variedades de buffet.,"comida,geral"
atendimento maravilhoso e sabores incríveis ?,"comida,serviço"
"Muito bom mesmo, e o com ótimas variedades de pizza!","comida,geral"
Estacionamento e uma excelente variedades de carne,"comida,localização"
"Excelente atendimento, muitas opções, ótimo tempero,","comida,serviço"
"Bom astral, bons petiscos, boa música, mas precisa melhorar a qualidade do som","comida,ambiente"
Lugar lindo e café saboroso,"bebida,geral"
"Uma excelente escolha para uma noite em companhia de muita gente bonita, ótimo atendimento e uma variações de musicas.","geral,serviço,ambiente"
"Sushi delicioso, Atendimento muito demorado","comida,serviço"
"Local confortável, bom atendimento e tem o melhor café da região!","bebida,serviço,ambiente"
"Excelente restaurante, carnes saborosas e pratos acima da média.","comida,geral"
"O happy hour é uma ótima pedida, com excelentes drinks.","bebida,geral"
"O atendimento é muito bom, mas os pratos são um pouco inflacionados e não são bem servidos...vale a experiência, mas realmente não é a verdadeira experiência manauara...gourmet demais.","comida,serviço,preço"
"E cada um que for, terá a sua própria experiência se vale retorno ou não ao restaurante, eu gostei muito, se puder voltarei.",geral
"Tem uma boa variedade de pizzas no rodízio, incluindo uns 10 sabores doces, como chocolate com MMs, ovomaltine, chocolate branco, sabores que não aparecem em grande parte dos rodízios de pizza de Manaus.",comida
Fui no restaurante na semana passada e todos os pratos de peixe estavam muito bons.,comida
"Só tendo a experiência de saborear as melhores carnes, em especial costela barbecue.",comida
"Acomodações externas muito ruim, pessoas fumando em cima da gente, no mais ótimo localização.","ambiente,localização"
"Não tinha os pratos pedidos, música muito alta, barulhos perturbadores vindos do teto... Experiência não muito boa.","geral,comida,ambiente"
"Tem cachaça de tudo quanto é qualidade, cervejas exóticas, tipo de açaí, umas comidas bem legais e muitas coisas importadas.","bebida,comida"
"Excelente lugar para tomar um bom café, comer deliciosa torta, lugar aconchegante e propício para se reunir com a família.","bebida,comida,ambiente"
Ótimo lugar para tomar um ótimo café e reunir os amigos,"bebida,geral"
"Excelente lugar para reunir com amigos no final da tarde, bons petiscos e preço.","comida,geral,preço"
Baião com tempero único.,comida
"Bar localizado no Largo São Sebastião, serve um ótimo sanduíche de pernil com cerveja bem gelada, ponto de encontro de jornalistas e da boemia da cidade","bebida,comida"
"Maravilhoso esse lugar comida boa bebida, bem familiar, amplo e bem organizado.","bebida,comida,geral"
Tive uma experiência nem um pouco agradável com o Restaurante.,geral
Couvert artistico valeu a pena.,ambiente
"Local amplo, cafe bom.","bebida,ambiente"
Entrada com um couvert excelente e o melhor camarão e ainda mais com um atendimento  De alto nível  feito pelo Rodrigo Uchoa.,"comida,serviço,ambiente"
"Bela carta de vinhos, bebidas diversas, peixes muito saborosos e sobremesas divinas.","bebida,comida"
"Comida maravilhosa, super descontos e bebida incrível.","bebida,comida,preço"
"Ótimo ambiente, excelente atendimento, comida boa e cerveja gelada.","bebida,comida,serviço,ambiente"
"Boas carnes e ambiente agradável, peca por falta de opções de cardápio.","comida,ambiente"
"Uma delícia, sabe aquele lugar da sua infância, que te faz imaginar e brincar com os pensamentos, tem uns peixes empalhados muito daora hahaha, pra quem é de fora igual eu foi muito legal conhecer, atendimento nota 10, petiscos regionais  deliciosos hummm... prato principal bem servido, pois quase não conseguíamos dar conta de tudo, tudo bem fresco, feito na hora, bom para crianças, adultos e idosos, pra todos!","geral,comida,ambiente,serviço"
"Tudo organizado, café regional maravilhoso","bebida,geral"
Lugar agradável para apreciar um bom café,"bebida,geral"
"Cerveja geladissima, bom atendimento, ótimos preços e cardápio variado, ambiente climatizado.","bebida,comida,serviço,ambiente,preço"
"Muito boa pizza, ótimas variedades de pizza.",comida
"Ótimo ambiente ,com um bar para você esperar sua companhia, com uma boa carta de bebidas,a comida é excelente e o atendimento é bom ,porém os preços são um pouco elevados,mas vale a pena uma visita ao local.","bebida,comida,serviço,ambiente,preço"
"Cerveja gelada, bom atendimento e música agradável.","bebida,serviço,ambiente"
Hambúrguer delicioso e preços variados para todos os bolsos.,"comida,preço"
"Cozinha deliciosa e com pratos bem preparados, tempero suave em sintonia com as recomendações atuais dos nutricionistas.",comida
Tem várias opções de pratos e sucos regionais.,"bebida,comida"
Atendimento e bebidas excelentes.,"bebida,serviço"
Salgados quentinhos e chegaram bem rápido.,"comida,serviço"
"Restaurante de culinária portuguesa, de longa tradição em Manaus (mais de 20 anos), o Alentejo não decepciona aos amantes de uma boa bacalhoada, em todas as suas mais diversas variedades.","geral,comida"
Sucos regionais espetaculares.,bebida
"Fomos em um grupo grande, então foi possível provar vários pratos...Mais",outros
É o melhor café regional dentro da cidade.,bebida
"Péssima experiência,  buffet  pobre, carnes duras, poucas guarnições, não recomendo,além disso, preço caro, pelo custo x benefício!","geral,comida,preço"
Aqui tem a melhor picanha e as melhores carnes nobres de manaus,comida
"Tive a recomendação de ir quando estava no Restaurante Terra e Mar, que é do mesmo grupo.",outros
Experiência boa.. Ainda mais se for cedo,geral
"Sabor das carnes muito bom, podendo pedir o ponto da carne bem...Mais",comida
Cerveja gelada,bebida
Aceitam encomendas para datas festivas.,outros
"A entradinha, um caldo de tambaqui já abre alas pra uma boa experiência gastronômica.",comida
Muito bom café da manhã e opções de bolo e sanduíches.,"bebida,comida"
"Primeira vez, ótima experiência.",geral
"Atendimento muito ágil, ótimas opções de bebidas quentes e geladas e o pão de tucumã e castanha é simplesmente PER-FEI-TOO!","bebida,comida,serviço"
"Um lugar bonito, café boa e comida boa.","ambiente,bebida,comida"
Café regional maravilhoso.,bebida
A cerveja mais gelada de mais atendimento 100%,"bebida,serviço"
"Ambiente bem limpo e climatizado, também tem sucos naturais e saladas, bem como descontos com cartão fidelidade.","bebida,ambiente,preço"
Não desejo esta horrível experiência à ninguém,geral
"Uma boa carta de vinhos, de várias nacionalidades, não me lembro de estar especificado no cardápio mas eles existem.",bebida
"Grande variedade de Pizzas, de massa fina, no sistema rodizio, saborosas, o custo-benefício e´ um dos atrativos da casa.","comida,preço"
"O preço tá alto, a qualidade e quantidade das porções estão deprimentes, a carne vem com meio quilo de gordura derramando óleo e ignoram o ponto que o cliente pede... Foi triste essa última experiência!","geral,comida,preço"
Ótimo ambiente e ótimas bebidas.,"bebida,ambiente"
"Experiência lamentável, sem exagero, pedi para ser atendido umas 3 vezes e os atendentes não vinham, passei aproximadamente 15 minutos em pé aguardando para sentar, depois de conseguir sentar passamos mais uns 25 minutos e não fomos atendidos.","geral,serviço"
"Ótimo lugar para ir com a família, bom atendimento, variedades de lanches, sorvetes bebidas e drinks.","bebida,comida,serviço,geral"
"sempre que tenho tempo, tom meu café regional !",bebida
Que café delicioso,bebida
Churrasco e variedades saborosas,comida
"Experiência maravilhosa, muito atencioso, educado, cortes, prestativo… ???????","geral,serviço"
"Atendimento ótimo do Senna, ambiente aconchegante,espaçoso, som com boa escolha de estilos, a comida 100% maravilhosa e bem servida.","comida,serviço,ambiente"
"ambiente super agradável, carne de primeira, atendimento excelente, cerveja gelada","bebida,comida,serviço,ambiente"
"Experiência muito boa, pista e bolas de boliche sem defeitos, boa comida... Um bom lugar pra se divertir!","geral,comida,ambiente"
"Música ao vivo, bons drinks e com ótima apresentação.","bebida,ambiente"
"Adorei conhecer o local, tive uma boa primeira impressão.",geral
"Os pratos servidos lá conseguem combinar sabores regionais e ingredientes internacionais, o que começa com o caldinho de entrada.",comida
"Marcela foi super atenciosa <3 Petiscos deliciosos e no tempo, e as bebidas pra acompanhar ?","comida,serviço"
"Cerveja gelada, petiscos bons (especialmente o bolinho de bacalhau).","bebida,comida"
"Situado ao lado do Teatro Amazonas num sobrado antigo, esse espaço serve para um agradável  fim de noite para o público que vai ao Teatro.",ambiente
Enfim uma excelente opcao de lazer.,geral
"Ótimo atendimento, temperatura agradável","serviço,ambiente"
"Além de possuir cervejas amazonenses, possuem cervejas de todos os locais do Brasil (ex: Cerpa) Para comer, experimentei...Mais",bebida
"Atendimento maravilhoso, bem localizado é um sushi divino.","comida,serviço"
"ambiente agradável, bom bacalhau e boa carta de vinhos.","bebida,comida,ambiente"
"Ótimo lugar para um bom café regional, comer a vontade e preço justo!","bebida,comida,preço"
Experiência fantástica.,geral
Decoração de cachacaria e comida de restaurante de ponta.....chopp ou cerveja gelados e diversas opções de cachaça para abrir o apetite.,"bebida,comida,ambiente"
"Ótimo local para um happy hour, ótimo ambiente e muita gente bonita.","geral,ambiente"
"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.",comida
"Caros amigos Turistas, não percam a oportunidade de tomar o melhor café regional de Manaus, muitas variedades de especiarias regionais, o famoso pão com tucumã, a tapioca bem quentinha, com castanha/queijo, banana frita, sucos regionais, cupuaçu, tapereba, goiaba, muito bom mesmo, não deixem de visitar!!","bebida,comida,geral"
Tive uma experiência não tão boa pedindo açaí via whatsapp na qual meu açaí veio com muito excesso de cobertura ( quase metade do copo) porém foram muito rápido e solícitos em resolver o problema.,comida
"?Som de boa qualidade, cerveja gelada!","bebida,ambiente"
"Comida muito boa, serviço de primeira, bons vinhos.","bebida,comida,serviço"
"Cerveja gelada, ambiente descontraído, música  de qualidade, gente interessante é de frente pro maior cartão postal da cidade (Teatro Amazonas)...","bebida,ambiente"
"Ótimo restaurante, cardápio repleto de comidas gostosas e com sabores divinos.","comida,geral"
"Garçom Celso, ótimo atendimento, uma experiência incrível, super recomendo!","geral,serviço"
"Ótimo café, achei o preço um pouco elevado, mas o ambiente é realmente muito bacana.","bebida,ambiente,preço"
Cervejas regionais e petiscos para quem quer curtir.,"bebida,comida"
Cafe expresso delicioso!,bebida
Excelente experiência degustativa.,comida
"Tem a pedida tradicional que é o sanduíche de pernil e dependendo do dia um bom pagode, como se encontra no Rio.","comida,ambiente"
"Porém, alguns pontos precisam ser observados: A feijoada, carro-chefe do fds do bar, servida em estilo buffet por R$ 39,90, não estava numa boa temperatura, simplesmente tava do normal para o frio.",comida
"Tambaqui e pirarucu estavam no ponto certo e a farinha típica, com tempero especial!!!",comida
"Excelente lugar, ambiente climatizado, perfeito para um bom café, tudo de qualidade.","bebida,ambiente,geral"
"gostei muito,excelente atendimento,ótima degustação amei","geral,serviço,comida"
Buffet livre com uma grande variedade de pratos regionais.,comida
"Muito bom, só deveria ter uma variedades maior de sobremesas","comida,geral"
mesma embalagem vai pro microndas...otima ideia..e delicioso com preço bom...parabens frango mineiro,"comida,preço"
"O Banzeiro é um restaurante mais sofisticado, com ar condicionado, bom atendimento, boas bebidas e um variado cardápio de comidas regionais.","bebida,comida,serviço,geral,ambiente"
"Lugar agradável, atendimento maravilhoso, cerveja geladinha.","bebida,serviço,geral"
"Cerveja gelada, mesas na calçada e na via, Esquenta depois das 17 mas pode chegar antes para ouvir o chorinho.Vale demais a pena.Tem que conhecer.","bebida,ambiente,geral"
Café delicioso!!,bebida
Café regional muito bom.,bebida
"Simplesmente um dos melhores senão o melhor para comer um hambúrguer delicioso, ambiente interno climatizado e externo arejado, estacionamento amplo e descoberto (o que não faz a menor diferença), e o principal, os melhores hambúrgueres da cidade de Manaus!","comida,ambiente,localização"
Restaurante de comidas típicas maravilhosas.,comida
Cachaças e cervejas muito boas.,bebida
"Funcionários excelentes, rodízio bem servido, muito barulho ( normal para um público jovem).","comida,serviço,ambiente"
Hambúrguer delicioso e de qualidade!,comida
Excelente experiência.,geral
"O Paulo deixou a gente muito confortável, atendeu muito bem, comida deliciosa.","comida,serviço"
Uma das melhores festas de Manaus,geral
"Refrigerante quente, falta de educação dos funcionários estrangeiros .","comida,serviço"
"Música boa, gente bonita, cerveja gelada!","bebida,ambiente"
"Cara que lugar bom, o atendimento é perfeito, e o café melhor ainda.","bebida,serviço,geral"
"Má atendimento, bebidas quentes e não inclusas.","bebida,serviço"
"Café típico da região e o famoso caboquinho, lanche típico","bebida,comida"
"A churrascaria tem um ambiente sofisticado com carnes nobres e saborosas além de bufês e guarnições que são preparadas na hora, os garçons são atenciosos e preparados, o preço diferente dos pratos, um pouco salgado.","comida,serviço,ambiente,preço"
Procurar uma embalagem melhor pra manteiga de garrafa que fica com a mão pegajosa depois que se serve!,comida
"Carnes diversas, acompanhamentos saborosos, e atendimento maravilhoso.","comida,serviço"
"Melhor menu, excelente carta de vinhos!","bebida,comida"
Tradicional em Manaus... Ótima comida e grande diversidade de bebidas,"bebida,comida,geral"
"Café regional normal, simples, com todas as opções regionais, mas sem muito destaque.",bebida
Boa carta de vinho.,bebida
"Atendimento ótimo do DENYS, muito educado, gente boa, muito bom ??",serviço
"Experiência ótima, comida de primeira, atendimento vip .","comida,serviço,geral"
Com opção de carnes nobres.,comida
Bom eu fui no café da br-174 no Km 12.,outros
Cerveja gelada e boa carta de vinhos.,bebida
"De A a Z, desde o atendimento sem o mínimo de preparo para uma simples venda dos pratos da casa, a bebida (cerveja quente) e...Mais","bebida,comida,serviço"
O único problema é o barulho insuportável dos clientes conversando alto.,ambiente
Vinho delicioso!,bebida
Um ótimo lugar para curtir uma cerveja geladinha e a boa música brasileira.,"bebida,ambiente"
"Hambúrgueres excelentes, drinks muito bem servidos.","bebida,comida"
ótimo local para tomar uma cerveja gelada e passar o tempo com amigos.,"bebida,geral"
Boa cerveja e chope bem gelado.,bebida
"Boa refeição, só não gostei foi da cobrança da brinquedoteca, que por sinal, estava um forno muito quente.","comida,ambiente"
"O famoso bolinho de feijoada é sempre uma boa pedida, porém a tradicionais picanha na chapa, super tradicional da casa ficou à desejar, chegou extremamente frio, com cara...Mais",comida
"Sabores surpreendentes, como a pizza amazonia, que leva diferentes ervas.",comida
"Possui atendimento rápido, espaço grande e disponibilidade para pequenas e grandes reservas!","serviço,ambiente"
Garçons com um excelente treinamento e as carnes com ótimos cortes e comida muito gostosa.,"comida,serviço"
Tapioca e sucos regionais muito bom.,"bebida,comida"
"Experiência absurda , muito bom!!!!",geral
"Excelente café regional, tudo maravilhoso, atendimento muito bom, o x-caboquinho muito bom, bananas fritas deliciosas, tapiocas maravilhosa, só e uma pena funcionar nos fim de semana.","bebida,geral,serviço,comida"
"A idéia das cervejas especiais é bem vinda, desde que estejam no cardápio, belgas frutadas, inglesas lupuladas, alemãs tradicionais e ipa e ales americanas somente, nada mais que 2 de cada tipo citado e apresentadas da maneira correta também.","bebida,comida"
Uma ótima experiência gastronômica.,comida
"Lugar tranquilo, climatizado, ótimo para se divertir com os amigos, além de um somzinho interativo (karaokê), tem petiscos deliciosos, banheiro disponível, garçons elevadíssimos, e um ambiente mais reservado para uma conversa com o crush.","comida,serviço,ambiente,geral"
Que experiência maravilhosa com a gastronomia amazonense.,comida
"Café regional muito gostoso, para quem quer saborear uma ótima tapioca com gosto regional, é uma boa opção de local.","bebida,comida,geral"
lugar ótimo de gente bonita e ambiente maravilhoso... Só uma obs não tem onde estacionar e isso é muito chato ainda mas este sábado passado que estava chovendo quase não saíamos do carro lamentável ?,"ambiente,localização"
Experiência muito agradável.,geral
"O ambiente é espaçoso, com música ao vivo e cerveja gelada.","bebida,ambiente"
Foi realmente uma experiência maravilhosa.,geral
"Atendimento, comida e bebidas excelentes","bebida,comida,serviço"
Generosa e gostosa porção de pastéis  de queijo e música so vivo  de qualidade.,"comida,ambiente"
Ótimo experiência com a culinária local,comida
"Serve cerveja gelada, caipirinha e outras.",bebida
Café da manhã top!,comida
"As bebidas chegam bem todavia o barulho do local incomoda quem quer conversar e saborear... alguns tira gostos existentes, os quais demoram muito para ficarem prontos e chegarem as pessoas que o solicitaram...","bebida,comida,serviço,ambiente"
Tapioca muito deliciosa.,comida
"Olha.. estava dando 5 estrelas FÁCIL… até ver a conta.. estava tudo muito bom.. comida gostosa (com preço justo) e cerveja gelada.. mas qnd veio a conta vimos que estavam cobrando R$25,00 na cerveja tijuca.. estava no cardápio?","bebida,comida,preço"
"Melhor experiência, nunca tive....",geral
"Vá com calma e não se estresse, será uma boa experiência, as pizzas são boas!","geral,comida"
Melhor opção de carnes vermelhas em Manaus.,comida
Há sucos naturais e cerveja gelada.,bebida
"Um lugar ótimo para tomar uma cerveja bem gelada, ótimo atendimento, petiscos e tira gostos muito bons, além dos pratos da cozinha portuguesa.","bebida,serviço,comida"
"Festas temáticas, ótimas comidas e claro, atendimento 100%  Obrigado pela vivência.","comida,serviço,ambiente"
Ambiente agradável e pessoal atencioso.,"ambiente,serviço"
"Visitei o Café Priscila numa quarta-feira, foi uma boa experiência.",geral
"Espaço p crianças, diversão para adultos e petiscos deliciosos, e tem estacionamento.","comida,ambiente,localização"
"O atendimento foi maravilhoso, ganhei um desconto comprando 1 torta e 1 cento de salgadinho de bolinha de queijo (unica opcao que tinha).",serviço
"Mais uma vez ,surpreendido com essa maravilha de cardápio, agora com outras poções exuberante, como sempre atendentes atenciosos, 'mais' desta vez precisou da ajuda de sua gerente para indicar um bom vinho, que por sua vez super agradável na combinação indicada por ela, tudo maravilhoso...Mais","comida,serviço"
Destaque para os drinks com sabores locais.,bebida
Experiência maravilhosa.,geral
Carta de vinhos ótima também.,bebida
"Super aconchegante, café delicioso","bebida,ambiente"
"Estive em fevereiro de 2020, experimentei o serviço de lanche da tarde com buffet livre R$ 25,00 por pessoa, incluindo bebidas, sanduíches e tapioca.",outros
Excelente restaurante com variedades diversas  e bom atendimento.,"geral,comida,serviço"
"Muito boa surpresa em serviço, comida regional muito boa, lugar extremamente agradável e muito bom serviço, com o pessoal muito prestativo e atenciosos... Muito bom vale a pena ir.","comida,serviço,ambiente,geral"
"Mas se você pode pagar diariamente, bom apetite.!!",comida
"Ao tomar o Café vc viaja nas nuvens com a pureza do café moído na hora, simplesmente apaixonante.",bebida
"Fui com um grupo grande de 24 pessoas e eles se atrapalharam com o serviço, servindo cada prato em momentos diferentes, tendo pessoas ainda sem terem sido servidas quando...Mais",serviço
Bom café e ambiente agradável,"bebida,ambiente"
Ótima refeição com atendimento de qualidade e sabores incríveis.,"comida,serviço"
Vários sabores muito saborosos por um bom preço :),"comida,preço"
"Para a minha primeira impressão, Tive uma experiência agradável, fui bem atendido e me admirei com a eficiência dos pedidos não tem miséria.","geral,serviço"
"Gente finíssima, atencioso e engraçado.",serviço
"Carnes muito saborosas, porém, pouca variedade.",comida
"Fomos bem atendidos, com explicações detalhadas da composição dos produtos produzidos e o serviço de café delicioso.","bebida,comida,serviço"
O dono é gente finíssima!,serviço
"Ótimo restaurante, um dos melhores sushi de Manaus .","geral,comida"
"Atendimento, comida,ambiente... Sem dúvida e a melhor rede de restaurantes do Brasil!","geral,comida,serviço,ambiente"
Petiscos excelentes e cerveja mega geladaaa,"bebida,comida"
Uma grande variedades de cervejas importadas e ótimos pratos.,"bebida,comida"
"Comida excelente, cerveja gelada, e atividades acuáticas!","bebida,comida"
"Ambiente incrível, e o melhor da culinária Portuguesa e Argentina, incluindo uma excelente carta de vinhos.","bebida,comida,ambiente"
"Ótimo ambiente, refrigerado, estacionamento, bom atendimento, chamada do garçom através de sinal eletrônico na mesa, tvs em ambos os lados, decoração com capas dos discos do Roberto Carlos e ótimas sobremesas","comida,ambiente,serviço,localização"
"Doces, salgados e comida gostosa",comida
Experiência única.,geral
"Lugar de gente bonita, comida boa e bebida para todos os gostos.","bebida,comida,ambiente"
"Ambiente informal, cerveja gelada, cozinha portuguesa.","bebida,comida,ambiente"
"Pratos bem elaborados, peixe de rio, tempero excelente.",comida
"Carnes maravilhosas , custo benefício , atendimento de primeira , ambiente  Agradável , música ambiente sensacional","comida,serviço,ambiente,preço"
"Cerveja na temperatura ideal, o melhor do bar.",bebida
Doces deliciosos,comida
"Presencialmente, nunca passei por uma experiência ruim lá.",geral
"Venha conhecer uma bar com a cerveja super gelada, tira gostos saborosos e atendimento vip.","bebida,comida,serviço"
Pratos com ingredientes regionais simples que tornam-se exuberantes pela harmonia e preparo profissionais.,"comida,serviço"
"Tive uma pessima experiência, a pizza chegou fria, a massa parece uma panqueca grudenta, molho ruim borda ruim, nunca mais irei pedir.","comida,geral"
"Comida boa, porém a demora acabou deixando a experiência ruim.","comida,serviço"
"Possui um cardápio de pratos baseados na culinária Amazonense, possuindo grande diversidade de peixes no conteúdo.",comida
Ótimas combinações de sabores regionais.,comida
"Ótima comida Regional, ambiente super limpo, seguro, bem localizado, climatizado, cardápio em português e inglês, boa carta de vinhos, dispõe de uma brinquedoteca na parte inferior e um bom estacionamento com staff.","bebida,comida,ambiente,localização"
Experiência maravilhosa que tivemos para comemorar meu aniversário e noivado.,geral
"Muito bom essa churrascaria no também badalado Vieiralves, atendimento excelente ambiente muito agradável, vista panorâmica e uma variedade de carnes e opções de  outras cozinhas [japonesa] também, carta de vinho simples não muito longa porém com alguns bons rótulos.","bebida,comida,serviço,ambiente"
Grande variedade e comidas e bebidas típicas.,"bebida,comida"
Excelente café regional em Manaus.,bebida
Carne de sol deliciosa e cerveja gelada.,"bebida,comida"
Melhor tapioca grarinada de Manaus e os salgados uma delícia,comida
INFELIZMENTE não tivemos a mesma experiência em Manaus.,geral
Se o intuito é comer uma bela carne essa churrascaria é uma boa pedida.,comida
"Detalhe que não haviam mais de 5 mesas ocupadas, então fico imaginando a bagunça que deve ser num dia movimentado, e ainda tinha uma parte no restaurante (nos fundos) que estava uma bagunça, parecia um escritório desorganizado, passou uma péssima impressão.",geral
"Eu gosto de sempre jantar aqui, porém deveria ter opção de não participar do couvert artístico porque eu não suporto comer com música e sem falar que não dá para conversar com os amigos e familiares eu fico perturbando com música alta, deveria ter outro ambiente para sem som ou colocar somente som ambiente!",ambiente
"O melhor café de Manaus, atendentes incríveis, eu amo muito tudo...","bebida,serviço,geral"
Petit gateau com ingredientes regionais fantástico.,comida
Há também produtos importados como refrigerante peruano.,bebida
"O serviço é atencioso e profissional mas parece de estar na praia do Futuro de Fortaleza: cada 10 minutos chega um garcon oferecendo algo: bebidas, saladas, sobremesas.",serviço
"Ambiente super agradável, boa comida, bom vinhos, recomendo sem medo de errar.","bebida,comida,ambiente,geral"
Hambúrguer artesanal.,comida
Bar histórico...bom atendimento...cerveja bem gelada..bons petiscos.,"bebida,comida,serviço,geral"
Cerveja sempre bem gelada.,bebida
Comemos um peixe a moda  coco bambu e um vinho pé tinto tudo pé tinto.,"bebida,comida"
Ótimo bar onde se encontra um Boa cerveja gelada e ótimo pagode..,"bebida,ambiente,geral"
cerveja geladinha,bebida
Restaurante de muito bom gosto e carnes maravilhosas.,"geral,comida"
"O preço da região é elevado, e o bar acompanha, mas o serviço e os tira gostos...Mais",preço
"Grande variedade no buffet, carnes deliciosas e bom preço!","comida,preço"
Para comer uma boa pedida é o sanduíche de pernil e bolinhos de bacalhau.,comida
"Pra quem procura uma experiência gastronômica completa, com boa música, comida deliciosa e ambiente acolhedor recomendo muito.","comida,ambiente"
Uma excelente pedida.,geral
"Uma culinária exótica com especiarias típicas da região, um local pequeno, com fila de espera (pelo menos quando fui tinha) porém aconchegante.","comida,ambiente"
Muita gente final de semana,ambiente
"Com um café expresso forte, cítrico e muito bem tirado.",bebida
"Ótima equipe, sempre muito atenciosos, ambiente muito agradável , ótima comida, ótimos vinhos, ótimas sobremesas.","bebida,serviço,comida,ambiente,geral"
"... A palavra simplicidade ainda pode ser empregada para se referir ao comportamento de alguém, conotando o modo espontâneo e despretensioso da pessoa.",outros
"Oferecem translado, cerveja gelada, diversidade de comidas... Toca rock que é o diferencial.","bebida,comida,ambiente"
O melhor petisco de manaus,comida
"Os ingredientes regionais se transformam, se combinam, é felicidade em forma de comida.",comida
"Café regional, delicioso.",bebida
"O cardápio é sofisticado, tipico também, contudo, variado, tem bons vinhos e...Mais","bebida,comida"
Gosto muito ambiente agradável e café delicioso,"bebida,ambiente"
"Nota 10 atendimento chopp geladinho e petiscos deliciosos,a casquinha de caranguejo então ?","bebida,serviço,comida"
Pense num café delicioso ??,bebida
"No mais, fomos em um grupo grande para fazer aniversário é foi ótimo.",geral
O cardápio de cervejas especiais é muito limitado e as poucas cervejas são muito caras.,"bebida,preço"
"Chopp gelado, ótimos drinks e sucos maravilhosos, recomendo para datas comemorativas, aniversários ??","bebida,geral"
Tem chopes e cervejas internacionais.,bebida
Cerveja bem gelada.,bebida
"Quer ir em um lugar super agradável, com uma carta de vinhos interessante e um peixe indescritível, vá ao restaurante Banzeiro em Manaus.","bebida,comida,geral"
"Porém, em datas comemorativas o atendimento é bastante demorado.",serviço
"Obs: só 2 pessoas consumiram bebida alcoólica, 6 cervejas longneck.",outros
"E um hambúrguer d tambaqui com pão d açaí, gostoso, embora pudesse ser mais caprichado ( pão maior, mais queijo…).",comida
"Fácil acesso, cerveja geladíssima, Pizza deliciosa e o acompanhamento tudo de primeira qualidade.","bebida,localização,comida"
"Uma boa pedida é o cordeiro, muito bom!",comida
"Lugar maravilhoso, música boa,  bebida gelada e gente bonita ?","bebida,geral,ambiente"
Ja fui varias vezes super recomendo tem uma das melhores carnes de sol de manaus.,"geral,comida"
"Parabéns ao garçom Luís Carlos, gente finíssima!",serviço
"O atendimento foi excepcional (ganhamos até uma cerveja artesanal de brinde), os petiscos bem servidos é bem gostosos, o preço é barato também, e o que deixa melhor...Mais","serviço,comida,preço"
(Tradução do Google) A boa notícia é que você vai conseguir um bom hambúrguer aqui.,comida
Boa experiência em Manaus.,geral
"Restaurante 5 estrelas, um dos melhores de Manaus, onde você se sente em casa almoçando ou jantando saboreando um bom vinho nacional ou importados, bem como os deliciosos licores.","bebida,geral"
"Um conjunto de bom ambiente com a simpatia dos garçons e as carnes especiais que são servidas, torna-se um excelente local para confraternizações e almoços executivos.","comida,serviço,ambiente"
Cerveja bem gelada!,bebida
"Excelente atendimento, pratos bem personalizados.. um excelente lugar para quem quer fugir do padrão, o ambiente super agradável e temático conforme as datas comemorativas, Recomendo","serviço,comida,geral,ambiente"
"Atendimento péssimo, acho que a atendente esperava eu entrar na cozinha pra preparar o meu próprio café.",serviço
"Uma das melhores pizzarias de Manaus, excelente massa e recheio bem italiano.","geral,comida"
"Local muito bom pra realizar encontro com os amigos, rodízio de pizzas doces e salgados bem gostoso e diversificado e uma deliciosa cerveja bem gelada.","bebida,geral,comida"
"Estivemos lá no último sábado, dia 12/03/16.",outros
É sempre uma experiência incrível!,geral
"Atendimento ótimo, caipirinha deliciosa e chopp gelado","bebida,serviço"
"Lugar bom para um almoço rápido durante o horário de pico, mas se for fora dele os funcionários arrumando o salão é uma experiência horrível!","geral,serviço"
Prato bem servido e com sabor peculiar de um prato feito com ingredientes e modo preparo de alta...Mais,comida
"Com pratos sofisticados, ambiente aconchegante e atendimento intimista, o Banzeiro entrega uma ótima experiência gastronômica na amazônia.","comida,ambiente,serviço"
"Pedi o Pizzaiolo e a rede de pescador, muitos bons, fartos e saborosos!",comida
"Um dos melhores restaurantes para se comemorar as melhores datas importantes em sua vida: aniversários, casamentos, reuniões de amigos entre outros.",geral
"Comida de qualidade, excelente atendimento, e cerveja geladinha.","bebida,comida,serviço"
Umas das cervejas mais geladas de Manaus,bebida
"Local ímpar para almoço, gente bonita, ótimo local para se refrescar e tomar um banho.","geral,ambiente"
Muito bom atendimento e não deixe de espirimentar seus tira gostos e a cerveja Amazon beer.,"bebida,serviço,comida"
"Ambiente familiar, muito bem estruturado, decoração impecável, uma mistura de pop rock, com cultura americana vintage... Vale a pena conhecer essa pizzaria com uma variedades de opção de sabores, um cardápio com muitas opções deliciosas com pizzas doces, salgadas, batata frita especial, hambúrguers , entre outros.... O estacionamento é amplo, mas precisa ainda de cuidados estruturais, melhorar o piso, e a estética da estrutura do prédio que fica a mostra, juntamente com as tubulações hídricas qu","comida,ambiente,localização"
"Ótimo lugar para tomar um delicioso café regional ambiente aconchegante é climatizado, vale apena conferir.","bebida,ambiente,geral"
"Voltei mais uma vez neste paraíso flutuante, muita gente bonita comida excelente e musica top.","geral,ambiente"
